Country,Refugees,Year
Turkey,7611,1990
Libanon,5528,1990
Serbia,5434,1990
Sri Lanka,4816,1990
Romania,1908,1990
Other,10584,1990
Serbia,13442,1991
Sri Lanka,7501,1991
Turkey,4535,1991
Romania,2647,1991
Libanon,1498,1991
Other,12040,1991
Serbia,20555,1998
Albania,4083,1998
Sri Lanka,2477,1998
Bosnia,2017,1998
Irak,1962,1998
Other,11885,1998
Serbia,29491,1999
Sri Lanka,1861,1999
Irak,1587,1999
Bosnia,1547,1999
Turkey,1515,1999
Other,11512,1999
Eritrea,9966,2015
Afghanistan,7831,2015
Syria,4745,2015
Irak,2388,2015
Sri Lanka,1878,2015
Other,12715,2015
